"Priority","Case ref","Case Age Old","Status","Sub Region Name","Machine Down Status","End User Name","MD Duration","HP Product","Case Subject","Assignment group","Escalation Level","Case Category","Case Subcategory","External Comments","Internal comments","Closure Note          (Customer Visible)","Closure Note         (Internal)","Customer Feedback","CSAT Customer Survey Score","Cause Code L1","Cause Code L2","Cause Code L3"
"3 - Moderate","CS21532596","125520","New","NA West","","Deluxe Corporation","0","HP PWI T250HD","MP491/Preventative Maintenance","AMS PWI Preventative Maintenance","","PM","","","2025-12-02 01:20 - System (Internal comments)
A case task [code]<a href='/sn_customerservice_task.do?sys_id=ada3edfdc3a97e1069585223e40131f0'target='_blank'> CSTASK0382002</a>[/code] has been created

2025-12-02 01:16 - Angelica Luna (Internal comments)
Hey @PWP Tier0 Support
 
Could you please assist me in case creations for the attached list of Presses.
All identical case creations , 58 in total.  For 12/1/25. All for the same issue. (See 2 Attachments)
·      New Case
·      Activity Type : Preventive Maintenance
·      Priority           : 3 - Normal
·      Severity          : 3 – Normal
·      Issue Description  :  Preventive Maintenance
·      Symptom Code (Top Category) :  Graphics : PWP: Press
·      Symptom Code (Sub Category) :  PM / Part Order / Training / Onsite
·      System Code (Specific Symptom) : Preventive Maintenance Required ( PM / Part Order / Training /Onsite )
·      Type Of Order Needed : New Work Order
 
 
All cases are for ""Preventive Maintenance to Be Performed By FSE""
        The WO should have an end date of December 31st 
 
Also add the following to WO or it will get rejected from BH system
 
Work Order Type = Preventative Maintenance.
 
Please also note @Bloss, Karen email regarding assignment group in Snow.
 


","","","","","","",""
"3 - Moderate","CS21538547","46140","Work In Progress","NA West","Not MD","Freedom Graphic Systems","0","HP PWI T350","SP31/Proactive/RIP15 Cache Battery","WW PWP RS","Care Center","Break & Fix","Compute System HW","2025-12-02 23:19 - Dustin Dang (RSE) (External Comments)
2025-11-21 07:41:23.088		Freedom Graphic	SP31	rip15	RAID CRITICAL - HP Smart Array Failed: Smart Array P420i in Slot 0 (Embedded) Controller Status: OK Cache Status: Permanently Disabled Battery/Capacitor Status: Failed (Replace Batteries/Capacitors)	ProLiant DL360p Gen8	USE42933HF	NA	Milton WI United States	Gen8


","2025-12-02 23:28 - Dustin Dang (RSE) (Internal comments)
SV1816361

","","","","","","",""
"3 - Moderate","CS21540640","6780","Work In Progress","UKI","Not MD","I2I BY CITIPOST LIMITED","0","HP PWI T240HD"," PE1-K+ Shuttle housing does not move","WW PWP RS","Field","Break & Fix","Print Bar Hardware","2025-12-03 11:06 - Sebastien Courcoul (RSE) (External Comments)
Dear Trevor,

Following the yesterday  Stephen visit , will request another visit to check the WWC bearing.
Best REgards

Sebastien

2025-12-03 10:15 - System Administrator (External Comments)
Thank you for subscribing to HP xRServices. HP experts may reach out to utilize your xR device (HoloLens) for remote diagnosis, troubleshooting, inspection, or supervision. Ensure your device is updated, charged and readily accessible for an optimal experience. Appreciate your cooperation!   [code]<a href=""https://www.printos.com/knowledge-zone/#/view/asset/210807"" target=""_blank"">xRServices_guide</a>[/code]

","2025-12-03 10:53 - Sebastien Courcoul (RSE) (Internal comments)
following the cap plate replacment , under case : CS21488944.
WWC bearing is hitting the cap plate.

2025-12-03 10:51 - Sebastien Courcoul (RSE) (Internal comments)
A visit [code]<a href='wm_task.do?sys_id=917f601ac3ed3e5069585223e401310b 'target='_blank'>VST12918941</a>[/code] has been created

2025-12-03 10:39 - Sebastien Courcoul (RSE) (Internal comments)
Talked with Stephen, lift plate replaced yesterday , and looks still pending some issue with WWC.
will request a dispatch to check it .

","","","","","","",""
"3 - Moderate","CS21536979","73560","Resolved","NA West","Not MD","AMAZON (HI02-MOD)","0","HP PWI T240HD","MP498 - VIsbility Only - Web Break at Dryer","WW PWP RS","Care Center","Break & Fix","Paper Path","2025-12-02 16:14 - Kevin Finister (RSE) (External Comments)
Closure notes:  VIsbility Only - Web Break at Dryer

2025-12-02 15:42 - System Administrator (External Comments)
Thank you for subscribing to HP xRServices. HP experts may reach out to utilize your xR device (HoloLens) for remote diagnosis, troubleshooting, inspection, or supervision. Ensure your device is updated, charged and readily accessible for an optimal experience. Appreciate your cooperation!   [code]<a href=""https://www.printos.com/knowledge-zone/#/view/asset/210807"" target=""_blank"">xRServices_guide</a>[/code]

","2025-12-02 16:13 - Kevin Finister (RSE) (Internal comments)
closing case visibility only

"," VIsbility Only - Web Break at Dryer","","","","Paper Path","Web","Solved by Workaround"
"3 - Moderate","CS21536434","78300","New","NA West","","ONeil Digital Solutions","0","HP PWI T350","Preventive Maintenance","AMS PWI Preventative Maintenance","","PM","","","2025-12-02 14:26 - System (Internal comments)
A case task [code]<a href='/sn_customerservice_task.do?sys_id=31a7d4c64729b250b1601fc1e26d432a'target='_blank'> CSTASK0382196</a>[/code] has been created

","","","","","","",""
"2 - High","CS21536454","78060","Work In Progress","UKI","MD","CLAYS (TJ Books) Ltd","0","HP PWI A2200","Double image","EMEA PWP T3","Tech Group","Break & Fix","Print Quality","2025-12-03 10:03 - Melody Lai (DSP) (External Comments)
Good morning @Nick Fernley

Our engineer managed to find an alternative flight.

He will be on site today around 1pm.

2025-12-02 17:32 - Melody Lai (DSP) (External Comments)
@Nick Fernley

Hi nick, my engineer is struggling to find feasible flight times to Newquay tomorrow, so it may be Thursday when he gets on site.

I will keep you updated, if we manage to find any alternative routes to get to you quicker.

2025-12-02 17:10 - Nick Fernley (External Comments)
Have lowered speeds  down from full  speed we normally run at and is still double printing going to try cleaning out turn bar area as that's before side 2 printing and hopefully if that doesn't improve it the engineer can resolve.

2025-12-02 17:06 - Exequiel Indovino (APE) (External Comments)
Thanks for the pictures Nick.
It´s better but I guess is not good enough to keep printing at high speed (152m/min). Is there any chance to print at lower speeds witth this tensions??

As Melody said our Engineer will be with you around mid-morning tomorrow.

2025-12-02 16:59 - Nick Fernley (External Comments)
Attachment uploaded to the case

2025-12-02 16:58 - Melody Lai (DSP) (External Comments)
Hi @Nick Fernley

Our engineer is getting an early flight from Dublin, so he will be with you around mid-morning tomorrow.

2025-12-02 16:56 - Nick Fernley (External Comments)
Hello melody my manager has asked if there is any chance we can have an engineer on site by tomorrow as press is down and need up as soon as possible!

2025-12-02 16:47 - Exequiel Indovino (APE) (External Comments)
Yes, the job printed.
How it looks at lower tensions?? Can you take a picture?

2025-12-02 16:45 - Nick Fernley (External Comments)
calibration ran

2025-12-02 16:43 - Nick Fernley (External Comments)
will run a calibration with these tensions. Sorry what do you mean by printout? Do you mean the job printed!

2025-12-02 16:40 - Melody Lai (DSP) (External Comments)
Good afternoon,

Our engineer Dave Moran will be on site this Thursday 4th.

Should this be inconvenient please let us know asap.

2025-12-02 16:39 - Exequiel Indovino (APE) (External Comments)
I´ve seen you set Tensions at 80N and the doubling has been reduced but still not good right?
Can you share a picture of the printout??
Is worth if you run another SUC with this tensions and check it again please.

Thank you.
Ciao.

2025-12-02 16:36 - Nick Fernley (External Comments)
job finished even with reduced tension its still double printing

2025-12-02 16:32 - Nick Fernley (External Comments)
job is running now about 4 mins 30 seconds left on job run

2025-12-02 16:25 - Nick Fernley (External Comments)
Have been told by my manager to run this 5 minute run on a slightly lower tension will start running now! Will run some of the job i was attempting.

2025-12-02 16:13 - Exequiel Indovino (APE) (External Comments)
Looks like the Side2 is completly gone because the tension control.
I was not able to capture traces to check the Tensions. For that I need you to run the for 5min to capture traces.
Can you run for 5 min to capture the traces?? I´m connected to the press.

Could be a problem with a Load Cell on side2. 
Paper stability is not good and we need to send an FSE to review it.
I´ll make the request right now and will come back to you as soon as possible.

2025-12-02 16:03 - Nick Fernley (External Comments)
I've run a couple more to see if i could put press up full speed and its completely gone again with pe1 running at about 125 nm and pe2 dropping to around 90 nm when i've got tensions set to 100. No the optimizer sometimes doesn't calibrate for some mono jobs but is not always needed

2025-12-02 15:55 - Exequiel Indovino (APE) (External Comments)
Hello Nick.
Ok, lets try it and will see if it has solved the problem.
I´ve downloaded the IPC images and I can´t see the Optimizer... Are you able to see the OP on the fisical plot of the SUC??

2025-12-02 15:46 - Nick Fernley (External Comments)
Hello exequiel have set up test mono paper profile and have run 4 calibrations and image on both sides looks better on calibration screen. I'm going to splice a new core on rewinder and try running the job to see if it runs better.

2025-12-02 15:23 - Exequiel Indovino (APE) (External Comments)
Good afternoon Nick.
I´d like to ask you to make a copy of the paper profile ""Mono Performance"" creating a new one with different name (i.e Test) and set the aligment to default to start over from scratch with new alignments.
You will need to run several SUC until get green values. Once alignment is applied, run the production job again to check the results.

Tension applied are 110N, which is the gsm of this paper??

Let me once you finish the actions.
Thank you.
Ciao.

2025-12-02 14:55 - Nick Fernley (External Comments)
Thank you

2025-12-02 14:41 - Said Hanafi (RSE) (External Comments)
Elevating case to WS team to help and support on this issue

","2025-12-02 16:57 - Melody Lai (DSP) (Internal comments)
A visit [code]<a href='wm_task.do?sys_id=f2b9b8423ba9f250dba7da2a85e45a00 'target='_blank'>VST12916172</a>[/code] has been created

2025-12-02 16:55 - Melody Lai (DSP) (Internal comments)
A visit [code]<a href='wm_task.do?sys_id=7679f0023ba9f250dba7da2a85e45aa8 'target='_blank'>VST12916171</a>[/code] has been created

2025-12-02 16:49 - Exequiel Indovino (APE) (Internal comments)
Case Task: 
The HSDC collected shows printing speed variations very high and side2 also has huge peaks on drive roller and idle rollers.
We need to check and calibrate the loadcells on side2.



2025-12-02 16:25 - Exequiel Indovino (APE) (Internal comments)
Case Task: 
We´ve reseated the alignment to default and run several SUC to get green alignment and check the PQ after this.
The setpoint of Tension was set to 100N and we can see a huge variation on side2 just running the SUC...
It causes misalignment on side2 and paper path is not stable to print correctly.
I need an FSE to calibrate the load cells on side2 because the press is down. 
Autodispatch has been made 5 min ago.

Please let me know the availability of the FSE and communicate to the customer.

Thank you.
Ciao.



2025-12-02 16:24 - Martin Slade (SPE) (Internal comments)
Rejected by mcslade@hp.com

2025-12-02 16:18 - Exequiel Indovino (APE) (Internal comments)
A visit [code]<a href='wm_task.do?sys_id=fcd0b40e4729f250b1601fc1e26d43b1 'target='_blank'>VST12916013</a>[/code] has been created

2025-12-02 15:06 - Exequiel Indovino (APE) (Internal comments)
A case task [code]<a href='/sn_customerservice_task.do?sys_id=5b80ec06476db250b1601fc1e26d4365'target='_blank'> CSTASK0382220</a>[/code] has been created

2025-12-02 14:42 - Said Hanafi (RSE) (Internal comments)
WS Team, please hepl here press down and needs attention

","","","","","","",""
"3 - Moderate","CS21538539","46680","New","NA East","Not MD","Quad Graphics Inc","0","HP PWI T250HD","Mp391/ Part replenishment for a borrowed part","AMS PWI T0","Front Office","Parts Only Case","","","","","","","","","",""
"3 - Moderate","CS21532625","123840","New","NA East","","Deluxe Printing","0","HP PWI T250HD","MP514/ Preventative Maintenance","AMS PWI Preventative Maintenance","","PM","","","2025-12-02 01:47 - System (Internal comments)
A case task [code]<a href='/sn_customerservice_task.do?sys_id=12d9a5bd8369be10977613b6feaad39d'target='_blank'> CSTASK0382007</a>[/code] has been created

2025-12-02 01:44 - Angelica Luna (Internal comments)
Hey @PWP Tier0 Support
 
Could you please assist me in case creations for the attached list of Presses.
All identical case creations , 58 in total.  For 12/1/25. All for the same issue. (See 2 Attachments)
·      New Case
·      Activity Type : Preventive Maintenance
·      Priority           : 3 - Normal
·      Severity          : 3 – Normal
·      Issue Description  :  Preventive Maintenance
·      Symptom Code (Top Category) :  Graphics : PWP: Press
·      Symptom Code (Sub Category) :  PM / Part Order / Training / Onsite
·      System Code (Specific Symptom) : Preventive Maintenance Required ( PM / Part Order / Training /Onsite )
·      Type Of Order Needed : New Work Order
 
 
All cases are for ""Preventive Maintenance to Be Performed By FSE""
        The WO should have an end date of December 31st 
 
Also add the following to WO or it will get rejected from BH system
 
Work Order Type = Preventative Maintenance.
 
Please also note @Bloss, Karen email regarding assignment group in Snow.
 


","","","","","","",""
"3 - Moderate","CS21532572","127800","Work In Progress","NA West","Not MD","ONeil Digital Solutions","0","HP PWI T480HD","XP13B/Proactive/VS06 Hard Drive Bay 6","WW PWP RS","Care Center","Break & Fix","Vision System","2025-12-02 00:38 - Dustin Dang (RSE) (External Comments)
NA			ODS	XP13B	5.0	5.0.22.10_revO	vs06	CRITICAL	ProLiant DL380 Gen10	2M201808L6	(port 2I:box 3:bay 6, SAS HDD, 600 GB, Failed)	2025-12-01 03:42:30.269	RAID CRITICAL - HP Smart Array Failed: HPE Smart Array P408i-a SR Gen10 in Slot 0 (Embedded) Array A logicaldrive 1 (1.09 TB, RAID 1+0, Interim Recovery Mode) physicaldrive 2I:3:6 (port 2I:box 3:bay 6, SAS HDD, 600 GB, Failed)	Gen10


","2025-12-02 00:51 - Dustin Dang (RSE) (Internal comments)
SV1815780

","","","","","","",""
"3 - Moderate","CS21536545","76260","Work In Progress","NA East","Not MD","Pratt (Target Container), Inc.","0","HP PWI T700i","pre-coater dryer reflecting sheet metal got bent during pulling the unit out","AMS PWP T2","Field","Break & Fix","K&B","","2025-12-02 14:57 - Vadim Kulya (FSE) (Internal comments)
A visit [code]<a href='wm_task.do?sys_id=c5de1cc2c3e9f250197db451150131bf 'target='_blank'>VST12915596</a>[/code] has been created

2025-12-02 14:57 - Vadim Kulya (FSE) (Internal comments)
I arrived onsite when the problem already happened . Sam , the maintenance guy , said he did not do anything unusual , he just pulled the dryer and heard the noise of the metal parts being caught . Not really clear what was the cause.

","","","","","","",""
"3 - Moderate","CS21537482","66960","Pending Parts","NA East","Not MD","Donnelly Financial Solutions","0","HP PWI T250HD","MP395A/BF/UTK Replenishment","AMS PWI T0","Front Office","Break & Fix","Smart UTK","","2025-12-02 17:39 - Rodrigo Juarez (RSE) (Internal comments)
A new order has been placed according to the following details:
 
Sales Order Number: 0614971621
Order Number: MO-713473110
Part number: 1410-2335  BEARING BALL 1"" STAINLESS SNAP RING
Qty: 4
Status: Partially Ordered (2 line items are flagged as Backordered)
ETA: not available.

2025-12-02 17:32 - Rodrigo Juarez (RSE) (Internal comments)
From: Smartsheet Automation <automation@app.smartsheet.com> 
Sent: Tuesday, December 2, 2025 8:29 AM
To: PWP Tier0 Support <dispatchihps@hp.com>
Subject: Changes to Case Request Form: IPCS New Case Request Form

CAUTION: External Email 
 
 		


Changes to Case Request Form: IPCS New Case Request Form



 
 	 	Case Request Form 
 


 
 		 	 
 	Details 	Changes since 12/2/25, 6:26 AM	 
 		 	 
 	1 row added
________________________________________
 	1 row added or updated (shown in yellow) 
	Row 3130
	
Hide this field		
Created		12/02/25, 6:26 AM
Asset Tag		MP395A
Region		East
Submitted By:		Robert DeFayette Robert.defayette@bhemail.com 717-433-8610
Type of Request		Case Request
Type of Case Needed		New Case
Asset & Company Name		MP395A Donnelly Financial Solutions
Issue Description/Case Subject		No bearings in stock. Customer is unable to refill sutk stocking levels as new bearing part number shows as "" non contract item"" 1410-2335 replaces 5090-0499
Case Priority		Low - Normal
Customer Contact Name		Mike weaver
Customer Contact Phone Number		+1 (717) 413-8952
Case Sub Category		
Customer Case ID (CDAX / SNOW Case ID)		
Type of Follow up Needed		
Type of Order Needed		UTK Replenishment
Symptom Code		
From Date (One Work Order per Day)		
TIll Date		
Additional Note		
Trouble Shooting Actions		
Additional Email Address to Notify		
1. SAP Part Number		1410-2335
1. Part Description		Beg., ball, 1.00, 2.05, 1.38, ss
Shipment Priority		Normal
1. Part Quantity		4
2. SAP Part Number 		
2. Part Description		
2. Part Quantity		
3. SAP Part Number		
3. Part Description		
3. Part Quantity		
Repeat issue 		
If Repeat Issue then enter time frame.		
Case Category		
Product Line		UN
Channel		HP Inc
4. SAP Part Number		
4. Part Description		
4. Part Quantity		
5. SAP Part Number		
5. Part Description		
5. Part Quantity		

 	Changes made by web-form@smartsheet.com

________________________________________
You are receiving this email because you are subscribed to a workflow ""IPCS New Case Request Form"" (ID# 1510925338470276) on sheet Case Request Form 
Exclude your changes from all notifications | Unsubscribe 
Powered by Smartsheet Inc. | Privacy Policy | Report Abuse/Spam 
––‒—‒–‒‒ —‒ ‐–—‐—––—
 
 


","","","","","","",""
"3 - Moderate","CS21537827","61800","Work In Progress","NA West","Not MD","Georgia Pacific Corp","0","HP PWI T1190","RS31 - Email - PEC crash issue","AMS PWP T3","Tech Group","Break & Fix","Compute System HW","2025-12-02 18:58 - System Administrator (External Comments)
Thank you for subscribing to HP xRServices. HP experts may reach out to utilize your xR device (HoloLens) for remote diagnosis, troubleshooting, inspection, or supervision. Ensure your device is updated, charged and readily accessible for an optimal experience. Appreciate your cooperation!   [code]<a href=""https://www.printos.com/knowledge-zone/#/view/asset/210807"" target=""_blank"">xRServices_guide</a>[/code]

","2025-12-02 19:00 - Tom Koch (RSE) (Internal comments)
Elevating to T3 per ASM. See attached email chain for more details.

","","","","","","",""
"3 - Moderate","CS21541002","1500","New","Italy","","ELCOGRAF","0","HP PWI T490M","XP304 - Elcograf Magnum Integration","EMEA PWI IPM Team","","Option","","","","","","","","","",""
"3 - Moderate","CS21539417","19140","Resolved","NA West","Not MD","SG360","0","HP PWI A2200","DP12/Phone/Job submission issue","WW PWP RS","Care Center","Break & Fix","Press Software","2025-12-03 08:00 - Yew Hin Say (CCE) (External Comments)
Closure notes: Ran purge all the jobs to clean out job queue

2025-12-03 07:01 - Yew Hin Say (CCE) (External Comments)
Hello,  I am connecting to your press and working on it

2025-12-03 06:49 - System Administrator (External Comments)
Thank you for subscribing to HP xRServices. HP experts may reach out to utilize your xR device (HoloLens) for remote diagnosis, troubleshooting, inspection, or supervision. Ensure your device is updated, charged and readily accessible for an optimal experience. Appreciate your cooperation!   [code]<a href=""https://www.printos.com/knowledge-zone/#/view/asset/210807"" target=""_blank"">xRServices_guide</a>[/code]

","2025-12-03 07:30 - Yew Hin Say (CCE) (Internal comments)
Ran purge all the jobs to clean out job queue

2025-12-03 07:20 - Yew Hin Say (CCE) (Internal comments)
Screenshot 2025-12-03 14:20.png copy/pasted into the case

","Ran purge all the jobs to clean out job queue","","","","Press Software","DFE Issue","Solved by Workaround"
"3 - Moderate","CS21536815","74280","New","NA East","","Seachange Printing","0","HP PWI T250HD","MP449/NBF/Preventive Maintenance","AMS PWI Preventative Maintenance","","PM","","","2025-12-02 15:32 - System (Internal comments)
A case task [code]<a href='/sn_customerservice_task.do?sys_id=c3b6e8c2c3e9b2509db2b610a00131c3'target='_blank'> CSTASK0382250</a>[/code] has been created

","","","","","","",""
"3 - Moderate","CS21536744","75060","New","NA West","","Frederic Printing An RR Donnelly","0","HP PWI T300","SP00/NBF/Preventive Maintenance","AMS PWI Preventative Maintenance","","PM","","","2025-12-02 15:19 - System (Internal comments)
A case task [code]<a href='/sn_customerservice_task.do?sys_id=2bc3ac4ec369b2509db2b610a001310e'target='_blank'> CSTASK0382239</a>[/code] has been created

","","","","","","",""
"2 - High","CS21539668","14340","Work In Progress","NA West","MD","American Litho","0","HP PWI T485","MP388/Phone/PE2 Printbar M- got stuck.","AMS PWP T2","Field","Break & Fix","Print Bar Hardware","2025-12-03 08:33 - Anek Sartmalee (FSE) (External Comments)
Hi Rene,
 Per call we cannot connect to the press please check with your IT to open the connection from your side.

","2025-12-03 09:00 - Anek Sartmalee (FSE) (Internal comments)
@Charles Dallman (FSE) 
Hi Charles, 
   FYI.

2025-12-03 08:59 - Anek Sartmalee (FSE) (Internal comments)
@Patrick Morseman (FSE) I have open a visit for you for follow up please.

2025-12-03 08:58 - Anek Sartmalee (FSE) (Internal comments)
A visit [code]<a href='wm_task.do?sys_id=a7d5905ec3ed329092739daf05013190 'target='_blank'>VST12918206</a>[/code] has been created

","","","","","","",""
"1 - Critical","CS21538669","41400","Work In Progress","NA West","MD","Senior Midwest Direct DBA Jetson Mailers - [customer]","0","HP PWI A2200","DP31 / Senior Midwest Direct / Phone / BF / Paper tension issues","AMS PWP T2","Field","Break & Fix","Paper Path","2025-12-03 00:38 - System Administrator (External Comments)
Thank you for subscribing to HP xRServices. HP experts may reach out to utilize your xR device (HoloLens) for remote diagnosis, troubleshooting, inspection, or supervision. Ensure your device is updated, charged and readily accessible for an optimal experience. Appreciate your cooperation!   [code]<a href=""https://www.printos.com/knowledge-zone/#/view/asset/210807"" target=""_blank"">xRServices_guide</a>[/code]

","2025-12-03 01:55 - Angelica Luna (Internal comments)
Case Task: 
Action Task CSTASK0382507 for Senior Midwest Direct DBA Jetson Mailers - [customer],Case ID: CS21538669
was created by Miguel Perez (FSE),cell phone number: .
Serial number: US2343M136
Issue: DP31 / Senior Midwest Direct / Phone / BF / Paper tension issues
Problem Description: DP31 / Senior Midwest Direct / Phone / BF / Paper tension issues
Task Description : WORK ORDER INSTRUCTIONS - FSE dispatch required at first thing tomorrow morning - Critical MD situation

Brief description of the problem - Paper tension issues

What troubleshooting was done? - Summary of actions:
- There was a paper break and after that the issue started to happen. Slipping of paper and big fluctuations in paper tension
- I asked to operator to check carefully the routing / threading of the paper in the press. He stated it's correctly webbed
- I asked him to clean and check the NIP rollers and drive rollers. He cleaned them and blowed air to remove dust
- Also, I asked them to check the inlet air pressure. They stated it's OK
- Seems the load cell calibration needs to be checked as well as status of paper path and rollers. FSE visit is needed to do it

Is Press Down? Yes

WHAT is the defect? (Blurry text, Skew, Banding, Misalignment, Error Code….): Paper tension issues

WHERE is the defect located? (Specific press? Specific PH? Slice, Specific Printbar? Specific Arch?): Paper tension issues

WHEN did the issue start? (Date and time, 20 min after start printing, upon startup after the weekend, after PCR upgrade, new job, planned maintenance, etc.): Today

EXTENT of the defect (Intermittent or All the Time): All the time

Is this a repeat issue in the last 14 days? - No

SNOW Case Number - CS21538669

Have Parts been Ordered - No

Is this already escalated? If yes, (Contact Information of T3/T4 engineer). - No
 
Ref:MSG33115023



2025-12-03 01:55 - Angelica Luna (Internal comments)
State for case task CSTASK0382507 changed to Closed

2025-12-03 01:48 - System (Internal comments)
A case task [code]<a href='/sn_customerservice_task.do?sys_id=6bc3728a97e9f650cc16b266f053aff9'target='_blank'> CSTASK0382509</a>[/code] has been created

2025-12-03 01:45 - Angelica Luna (Internal comments)
Action Task CSTASK0382507 for Senior Midwest Direct DBA Jetson Mailers - [customer],Case ID: CS21538669
was created by Miguel Perez (FSE),cell phone number: .
Serial number: US2343M136
Issue: DP31 / Senior Midwest Direct / Phone / BF / Paper tension issues
Problem Description: DP31 / Senior Midwest Direct / Phone / BF / Paper tension issues
Task Description : WORK ORDER INSTRUCTIONS - FSE dispatch required at first thing tomorrow morning - Critical MD situation

Brief description of the problem - Paper tension issues

What troubleshooting was done? - Summary of actions:
- There was a paper break and after that the issue started to happen. Slipping of paper and big fluctuations in paper tension
- I asked to operator to check carefully the routing / threading of the paper in the press. He stated it's correctly webbed
- I asked him to clean and check the NIP rollers and drive rollers. He cleaned them and blowed air to remove dust
- Also, I asked them to check the inlet air pressure. They stated it's OK
- Seems the load cell calibration needs to be checked as well as status of paper path and rollers. FSE visit is needed to do it

Is Press Down? Yes

WHAT is the defect? (Blurry text, Skew, Banding, Misalignment, Error Code….): Paper tension issues

WHERE is the defect located? (Specific press? Specific PH? Slice, Specific Printbar? Specific Arch?): Paper tension issues

WHEN did the issue start? (Date and time, 20 min after start printing, upon startup after the weekend, after PCR upgrade, new job, planned maintenance, etc.): Today

EXTENT of the defect (Intermittent or All the Time): All the time

Is this a repeat issue in the last 14 days? - No

SNOW Case Number - CS21538669

Have Parts been Ordered - No

Is this already escalated? If yes, (Contact Information of T3/T4 engineer). - No
 
Ref:MSG33115023

2025-12-03 01:36 - Miguel Perez (FSE) (Internal comments)
A case task [code]<a href='/sn_customerservice_task.do?sys_id=58a0760e8369f650977613b6feaad38e'target='_blank'> CSTASK0382507</a>[/code] has been created

2025-12-03 01:33 - Miguel Perez (FSE) (Internal comments)
Summary of actions:
- There was a paper break and after that the issue started to happen. Slipping of paper and big fluctuations in paper tension
- I asked to operator to check carefully the routing / threading of the paper in the press. He stated it's correctly webbed
- I asked him to clean and check the NIP rollers and drive rollers. He cleaned them and blowed air to remove dust
- Also, I asked them to check the inlet air pressure. They stated it's OK
- Seems the load cell calibration needs to be checked as well as status of paper path and rollers. FSE visit is needed to do it

2025-12-03 01:24 - Miguel Perez (FSE) (Internal comments)
Screenshot 2025-12-02 19:24.png copy/pasted into the case

2025-12-03 01:03 - Miguel Perez (FSE) (Internal comments)
Screenshot 2025-12-02 19:03.png copy/pasted into the case

2025-12-03 01:00 - Miguel Perez (FSE) (Internal comments)
Screenshot 2025-12-02 19:00.png copy/pasted into the case

2025-12-03 00:39 - Miguel Perez (FSE) (Internal comments)
Screenshot 2025-12-02 18:39.png copy/pasted into the case

2025-12-03 00:39 - Miguel Perez (FSE) (Internal comments)
Screenshot 2025-12-02 18:39.png copy/pasted into the case

","","","","","","",""
"2 - High","CS21533630","102180","Work In Progress","NA East","MD","Elanders USA","0","HP PWI T230","MP240A/phone/Hunkeler stacker clutch not functioning","WW PWP RS","Field","Break & Fix","3rd Party Inline Devices","","2025-12-03 11:19 - Petar Popkochev (FOA) (Internal comments)
Dear RS,

Please call David tel:+16782343583, sameissue. It is DOWN now.

BR
Petar Popkochev

2025-12-02 08:05 - System (Internal comments)
A case task [code]<a href='/sn_customerservice_task.do?sys_id=e06047b5c3edfe1069585223e4013135'target='_blank'> CSTASK0382034</a>[/code] has been created

2025-12-02 07:48 - Seungmin Lee (FSE) (Internal comments)
A case task [code]<a href='/sn_customerservice_task.do?sys_id=4d6cfe7dc3213250197db45115013140'target='_blank'> CSTASK0382033</a>[/code] has been created

","","","","","","",""
